date,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
2024-01-26,0,0.0,0,0.0,0,0.0,31136535,2.24,ame
2024-01-25,0,0.0,0,0.0,0,0.0,31136535,2.24,ame
2024-01-24,0,0.0,0,0.0,0,0.0,31136535,2.24,ame
2024-01-23,0,0.0,0,0.0,0,0.0,31136535,2.24,ame
2024-01-22,0,0.0,0,0.0,0,0.0,31136535,2.24,ame
2024-01-19,0,0.0,0,0.0,0,0.0,31136535,2.24,ame
2024-01-18,0,0.0,0,0.0,0,0.0,31136535,2.24,ame
2024-01-17,0,0.0,0,0.0,0,0.0,31136536,2.24,ame
2024-01-16,0,0.0,0,0.0,0,0.0,31136536,2.24,ame
2024-01-15,0,0.0,0,0.0,0,0.0,31136536,2.24,ame
2024-01-12,0,0.0,0,0.0,0,0.0,31136535,2.24,ame
2024-01-11,0,0.0,0,0.0,0,0.0,31136536,2.24,ame
2024-01-10,0,0.0,0,0.0,0,0.0,31136536,2.24,ame
2024-01-09,0,0.0,0,0.0,0,0.0,31136536,2.24,ame
2024-01-08,0,0.0,0,0.0,0,0.0,31136535,2.24,ame
2024-01-05,0,0.0,0,0.0,0,0.0,31136535,2.24,ame
2024-01-04,0,0.0,0,0.0,0,0.0,31136535,2.24,ame
2024-01-03,0,0.0,0,0.0,0,0.0,31136535,2.24,ame
2024-01-02,0,0.0,0,0.0,0,0.0,31136536,2.24,ame
2024-09-12,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-09-11,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-09-10,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-09-09,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-09-06,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-09-05,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-09-04,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-08-30,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-08-29,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-08-28,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-08-27,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-08-26,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-08-23,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-08-22,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-08-21,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-08-20,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-08-19,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-08-16,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-08-15,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-08-14,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-08-13,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-08-12,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-08-09,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-08-08,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-08-07,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-08-06,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-08-05,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-08-02,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-08-01,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
