ticker,date,buy_volume,buy_value_bil_vnd,sell_volume,sell_value_bil_vnd,net_trading_volume,net_trading_value_bil_vnd
bmp,26/03/2024,"1,800",0.2,400,0.04,"1,400",0.15
bmp,25/03/2024,"3,600",0.39,"3,700",0.4,-100,-0.01
bmp,22/03/2024,"3,800",0.42,"2,100",0.23,"1,700",0.19
bmp,21/03/2024,"2,300",0.26,0,0.0,"2,300",0.26
bmp,20/03/2024,"4,300",0.47,0,0.0,"4,300",0.47
bmp,19/03/2024,500,0.05,0,0.0,500,0.05
bmp,18/03/2024,"3,200",0.35,"5,600",0.64,"-2,400",-0.29
bmp,15/03/2024,500,0.06,"1,400",0.16,-900,-0.1
bmp,14/03/2024,0,0.0,"1,700",0.2,"-1,700",-0.2
bmp,13/03/2024,0,0.0,500,0.06,-500,-0.06
bmp,12/03/2024,"1,100",0.13,100,0.01,"1,000",0.11
bmp,11/03/2024,900,0.1,100,0.01,800,0.09
bmp,08/03/2024,"1,200",0.14,"3,900",0.44,"-2,700",-0.31
bmp,07/03/2024,0,0.0,"1,900",0.22,"-1,900",-0.22
bmp,06/03/2024,"1,800",0.21,0,0.0,"1,800",0.21
bmp,05/03/2024,600,0.07,0,0.0,600,0.07
bmp,04/03/2024,300,0.03,"2,400",0.27,"-2,100",-0.24
bmp,01/03/2024,0,0.0,"2,800",0.32,"-2,800",-0.32
bmp,29/02/2024,100,0.01,"1,500",0.17,"-1,400",-0.16
bmp,28/02/2024,"3,200",0.37,500,0.06,"2,700",0.31
bmp,27/02/2024,"1,300",0.15,"2,800",0.33,"-1,500",-0.18
bmp,26/02/2024,200,0.02,"2,900",0.34,"-2,700",-0.32
bmp,23/02/2024,"3,600",0.41,"1,000",0.11,"2,600",0.3
bmp,22/02/2024,0,0.0,800,0.09,-800,-0.09
bmp,21/02/2024,"1,900",0.2,"3,900",0.41,"-2,000",-0.21
bmp,19/02/2024,"1,700",0.18,0,0.0,"1,700",0.18
bmp,16/02/2024,"4,600",0.48,0,0.0,"4,600",0.48
bmp,15/02/2024,"1,000",0.1,400,0.04,600,0.06
bmp,07/02/2024,600,0.06,0,0.0,600,0.06
bmp,06/02/2024,200,0.02,0,0.0,200,0.02
bmp,05/02/2024,"3,000",0.32,0,0.0,"3,000",0.32
bmp,02/02/2024,0,0.0,"2,800",0.3,"-2,800",-0.3
bmp,01/02/2024,400,0.04,400,0.04,0,-0.0
bmp,31/01/2024,100,0.01,300,0.03,-200,-0.02
bmp,30/01/2024,0,0.0,900,0.09,-900,-0.09
bmp,29/01/2024,0,0.0,"4,000",0.42,"-4,000",-0.42
bmp,26/01/2024,800,0.09,0,0.0,800,0.09
bmp,24/01/2024,0,0.0,400,0.04,-400,-0.04
bmp,23/01/2024,0,0.0,300,0.03,-300,-0.03
bmp,22/01/2024,"1,600",0.17,"1,600",0.17,0,-0.0
bmp,19/01/2024,"1,600",0.17,0,0.0,"1,600",0.17
bmp,18/01/2024,100,0.01,700,0.08,-600,-0.06
bmp,17/01/2024,0,0.0,"1,100",0.12,"-1,100",-0.12
bmp,15/01/2024,0,0.0,500,0.05,-500,-0.05
bmp,12/01/2024,"1,200",0.13,0,0.0,"1,200",0.13
bmp,11/01/2024,100,0.01,"27,800",2.95,"-27,700",-2.94
bmp,10/01/2024,900,0.09,0,0.0,900,0.09
bmp,09/01/2024,"1,000",0.11,0,0.0,"1,000",0.11
bmp,08/01/2024,0,0.0,"1,300",0.14,"-1,300",-0.14
bmp,05/01/2024,100,0.01,300,0.03,-200,-0.02
bmp,04/01/2024,"1,200",0.13,"1,200",0.13,0,-0.0
bmp,03/01/2024,0,0.0,100,0.01,-100,-0.01
bmp,02/01/2024,"27,700",2.93,500,0.05,"27,200",2.88
